type,features__type,features__geometry__type,x,y,features__geometry__coordinates__003,features__geometry__coordinates__004,features__properties__OBJECTID,features__properties__BLOCKNAME,Rotation1,total,Rotation2
,Feature,Point,473794.3619,5363516.398,0,-1.79769313486232E+308,74,VOLEFT,1.400888544,11290,80.265
,Feature,Point,473865.8256,5363616.05,0,-1.79769313486232E+308,75,VOLRIGHT,1.432336214,11492,82.0668
,Feature,Point,473192.9175,5364734.353,0,-1.79769313486232E+308,76,VOLEFT,5.04427929,15153,289.016
,Feature,Point,473156.1747,5364615.777,0,-1.79769313486232E+308,77,VOLRIGHT,4.832502828,23863,276.882
,Feature,Point,473002.7223,5364766.928,0,-1.79769313486232E+308,78,VOLEFT,5.04427929,13952,289.016
,Feature,Point,472990.8035,5364652.261,0,-1.79769313486232E+308,79,VOLRIGHT,5.007941069,9856,286.934
,Feature,Point,473291.0846,5364739.366,0,-1.79769313486232E+308,80,VOLRIGHT,6.151940419,9147,352.48
,Feature,Point,473185.3069,5364802.656,0,-1.79769313486232E+308,81,VOLEFT,6.217373784,9883,356.229
,Feature,Point,473534.6355,5364695.791,0,-1.79769313486232E+308,82,VOLRIGHT,1.502390459,6688,86.0806
,Feature,Point,473484.3684,5364596.232,0,-1.79769313486232E+308,83,VOLEFT,1.464960962,7049,83.9361
,Feature,Point,473656.5439,5364128.916,0,-1.79769313486232E+308,84,VOLEFT,1.464960962,1973,83.9361
,Feature,Point,473705.8258,5364228.83,0,-1.79769313486232E+308,85,VOLRIGHT,1.502390459,3678,86.0806
,Feature,Point,473533.4963,5364257.599,0,-1.79769313486232E+308,86,VOLEFT,6.1858273,4453,354.422
,Feature,Point,473638.0647,5364208.28,0,-1.79769313486232E+308,87,VOLRIGHT,6.188596482,4901,354.58
,Feature,Point,473851.9539,5364191.972,0,-1.79769313486232E+308,88,VOLRIGHT,6.188596482,4393,354.58
,Feature,Point,473747.0725,5364240.345,0,-1.79769313486232E+308,89,VOLEFT,6.1858273,2464,354.422
,Feature,Point,474049.8362,5364172.508,0,-1.79769313486232E+308,90,VOLRIGHT,6.188596482,862,354.58
,Feature,Point,473959.354,5364225.883,0,-1.79769313486232E+308,91,VOLEFT,6.1858273,673,354.422
,Feature,Point,474091.552,5364138.434,0,-1.79769313486232E+308,92,VOLEFT,1.477938481,839,84.6796
,Feature,Point,474135.3102,5364231.841,0,-1.79769313486232E+308,93,VOLRIGHT,1.472574483,1050,84.3723
,Feature,Point,475514.1003,5364827.715,0,-1.79769313486232E+308,94,VOL3NUM,6.279311696,0,359.778
,Feature,Point,475009.0793,5362922.183,0,-1.79769313486232E+308,95,VOL3NUM,4.99909524,0,286.427
,Feature,Point,474443.375,5362700.195,0,-1.79769313486232E+308,96,VOLRIGHT,5.262678222,1681,301.529
,Feature,Point,474430.6493,5362788.949,0,-1.79769313486232E+308,97,VOLEFT,5.291544113,1180,303.183
,Feature,Point,473955.8313,5362716.774,0,-1.79769313486232E+308,98,VOLEFT,5.779195879,5424,331.124
,Feature,Point,474026.7458,5362626.136,0,-1.79769313486232E+308,99,VOLRIGHT,5.750815434,4179,329.497
,Feature,Point,474262.2741,5363117.087,0,-1.79769313486232E+308,100,VOLRIGHT,6.117305022,928,350.496
,Feature,Point,473989.778,5363100.725,0,-1.79769313486232E+308,101,VOL4NUM,1.413953868,0,81.0136
,Feature,Point,473999.5917,5362879.38,0,-1.79769313486232E+308,102,VOLRIGHT,1.432336217,330,82.0668
,Feature,Point,473941.9144,5362796.268,0,-1.79769313486232E+308,103,VOLEFT,1.400888547,292,80.265
,Feature,Point,473742.1281,5362911.394,0,-1.79769313486232E+308,104,VOLRIGHT,1.432336217,8326,82.0668
,Feature,Point,473679.7967,5362820.315,0,-1.79769313486232E+308,105,VOLEFT,1.400888547,9321,80.265
,Feature,Point,473646.1538,5362815.239,0,-1.79769313486232E+308,106,VOLRIGHT,6.117305022,3282,350.496
,Feature,Point,473545.3122,5362870.634,0,-1.79769313486232E+308,107,VOLEFT,6.124802572,4870,350.925
,Feature,Point,473414.8781,5362885.999,0,-1.79769313486232E+308,108,VOLRIGHT,5.510655347,3458,315.737
,Feature,Point,473356.8019,5362995.117,0,-1.79769313486232E+308,109,VOLEFT,5.576746914,2516,319.524
,Feature,Point,472689.5942,5362714.304,0,-1.79769313486232E+308,110,VOLEFT,0.100108472,1243,5.73579
,Feature,Point,472451.1753,5362564.449,0,-1.79769313486232E+308,111,VOLEFT,0.100108472,1243,5.73579
,Feature,Point,472153.1255,5362253.557,0,-1.79769313486232E+308,112,VOLEFT,0.924640449,1340,52.978
,Feature,Point,471712.0593,5362384.574,0,-1.79769313486232E+308,113,VOLRIGHT,5.663096735,2953,324.472
,Feature,Point,471667.1951,5362486.894,0,-1.79769313486232E+308,114,VOLEFT,5.664803079,2731,324.569
,Feature,Point,472423.6141,5361882.407,0,-1.79769313486232E+308,115,VOLRIGHT,5.663096738,3536,324.472
,Feature,Point,472363.7536,5361974.43,0,-1.79769313486232E+308,116,VOLEFT,5.664803082,3423,324.569
,Feature,Point,473552.7108,5361836.982,0,-1.79769313486232E+308,117,VOLRIGHT,1.496123905,3431,85.7216
,Feature,Point,473488.9604,5361733.926,0,-1.79769313486232E+308,118,VOLEFT,1.48124221,2939,84.8689
,Feature,Point,473884.1159,5361555.109,0,-1.79769313486232E+308,119,VOLRIGHT,5.728629449,4884,328.226
,Feature,Point,473812.9663,5361645.48,0,-1.79769313486232E+308,120,VOLEFT,5.727415599,4498,328.157
,Feature,Point,473941.8427,5361709.536,0,-1.79769313486232E+308,121,VOL3NUM,1.394540595,0,79.9013
,Feature,Point,474042.6747,5361864.463,0,-1.79769313486232E+308,122,VOL3NUM,6.106929575,0,349.901
,Feature,Point,473939.012,5361882.517,0,-1.79769313486232E+308,123,VOL3NUM,6.106929575,0,349.901
,Feature,Point,474289.9042,5362035.104,0,-1.79769313486232E+308,124,VOLRIGHT,6.111722238,1240,350.176
,Feature,Point,474205.5151,5362095.593,0,-1.79769313486232E+308,125,VOLEFT,6.126679765,1050,351.033
,Feature,Point,473965.6899,5362088.901,0,-1.79769313486232E+308,126,VOLRIGHT,6.094323361,1292,349.179
,Feature,Point,473876.3287,5362152.976,0,-1.79769313486232E+308,127,VOLEFT,6.094065708,1327,349.164
,Feature,Point,473693.8599,5362133.016,0,-1.79769313486232E+308,128,VOLRIGHT,6.108966907,833,350.018
,Feature,Point,473611.6447,5362199.921,0,-1.79769313486232E+308,129,VOLEFT,6.080537625,975,348.389
,Feature,Point,474076.3355,5361977.767,0,-1.79769313486232E+308,130,VOL4NUM,1.396619016,0,80.0204
,Feature,Point,473988.7379,5361992.777,0,-1.79769313486232E+308,131,VOL4NUM,1.396619016,0,80.0204
,Feature,Point,473810.4131,5362031.553,0,-1.79769313486232E+308,132,VOL4NUM,1.396619016,0,80.0204
,Feature,Point,473839.8208,5362213.551,0,-1.79769313486232E+308,133,VOL4NUM,1.396619016,0,80.0204
,Feature,Point,474110.2848,5362192.459,0,-1.79769313486232E+308,134,VOL4NUM,1.396619016,0,80.0204
,Feature,Point,475092.4934,5362058.202,0,-1.79769313486232E+308,135,VOL3NUM,1.585719998,0,90.8551
,Feature,Point,475052.6352,5362544.813,0,-1.79769313486232E+308,136,VOL3NUM,4.797323881,0,274.866
,Feature,Point,475069.5127,5362258.164,0,-1.79769313486232E+308,137,VOL3NUM,4.790412817,0,274.47
,Feature,Point,475150.4798,5362047.212,0,-1.79769313486232E+308,138,VOLEFT,6.272445249,1320,359.385
,Feature,Point,475355.9711,5362297.981,0,-1.79769313486232E+308,139,VOLEFT,6.272445249,256,359.385
